Image,Flow,FlowRGB,GtMask,Sequence,Dino
FBMS/FBMS_clean/JPEGImages/bear01/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00001.flo.png,FBMS/FBMS_clean/Annotations/bear01/00001.png,bear01,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00001.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/bear01/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00020.flo.png,FBMS/FBMS_clean/Annotations/bear01/00020.png,bear01,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00020.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/bear01/00040.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00040.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00040.flo.png,FBMS/FBMS_clean/Annotations/bear01/00040.png,bear01,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00040.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/bear01/00060.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00060.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00060.flo.png,FBMS/FBMS_clean/Annotations/bear01/00060.png,bear01,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00060.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/bear01/00080.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00080.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00080.flo.png,FBMS/FBMS_clean/Annotations/bear01/00080.png,bear01,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00080.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/bear01/00100.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear01/00100.flo,,FBMS/FBMS_clean/Annotations/bear01/00100.png,bear01,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00100.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/bear02/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00001.flo.png,FBMS/FBMS_clean/Annotations/bear02/00001.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00001.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00020.flo.png,FBMS/FBMS_clean/Annotations/bear02/00020.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00020.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00040.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00040.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00040.flo.png,FBMS/FBMS_clean/Annotations/bear02/00040.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00040.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00060.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00060.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00060.flo.png,FBMS/FBMS_clean/Annotations/bear02/00060.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00060.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00080.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00080.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00080.flo.png,FBMS/FBMS_clean/Annotations/bear02/00080.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00080.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00100.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00100.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00100.flo.png,FBMS/FBMS_clean/Annotations/bear02/00100.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00100.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00120.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00120.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00120.flo.png,FBMS/FBMS_clean/Annotations/bear02/00120.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00120.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00140.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00140.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00140.flo.png,FBMS/FBMS_clean/Annotations/bear02/00140.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00140.jpg_180x320.npy
